date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:05:30	545325/545325	---M--	200	added ('OK')	image/png	etag:%22d834a5e210d838e3005543ec955c65c0-ssl%22	https://retnews.netlify.app/images/newsimage5.png	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/newsimage5.png	(from https://retnews.netlify.app/homepage-v1)
10:05:32	39041/39041	---M--	200	added ('OK')	image/jpeg	etag:%2244451c7fe3e20d2bb7214ff06f32ac7e-ssl%22	https://retnews.netlify.app/images/newsimage9.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/newsimage9.jpg	(from https://retnews.netlify.app/homepage-v1)
10:05:32	1851248/1851248	---M--	200	added ('OK')	image/png	etag:%22d2f827e707c908d170fcba2301da5b99-ssl%22	https://retnews.netlify.app/images/newsimage21.png	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/newsimage21.png	(from https://retnews.netlify.app/homepage-v1)
10:05:32	588760/588760	---M--	200	added ('OK')	image/png	etag:%22cffac73da0b4378b4214050b67f6973a-ssl%22	https://retnews.netlify.app/images/newsimage2.png	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/newsimage2.png	(from https://retnews.netlify.app/homepage-v1)
10:05:32	1556280/1556280	---M--	200	added ('OK')	image/png	etag:%22ff368f82959011e1cbc26ff801f543c9-ssl%22	https://retnews.netlify.app/images/newsimage6.png	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/newsimage6.png	(from https://retnews.netlify.app/homepage-v1)
10:05:33	21617/21617	---M--	200	added ('OK')	image/jpeg	etag:%22563f71bf1d6418fd5d536d339519e0af-ssl%22	https://retnews.netlify.app/images/newsimage5.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/newsimage5.jpg	(from https://retnews.netlify.app/homepage-v1)
10:05:33	35744/35744	---M--	200	added ('OK')	image/jpeg	etag:%22cc7bacd4c3f3cf930159534994107b69-ssl%22	https://retnews.netlify.app/images/newsimage12.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/newsimage12.jpg	(from https://retnews.netlify.app/homepage-v1)
10:05:33	35369/35369	---M--	200	added ('OK')	image/jpeg	etag:%22967405c02bc1af47b47b47138460c7e6-ssl%22	https://retnews.netlify.app/images/newsimage7.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/newsimage7.jpg	(from https://retnews.netlify.app/homepage-v1)
10:05:34	77233/77233	---M--	200	added ('OK')	image/jpeg	etag:%22ac1c3a13b3fc816f222b8b7f0d0c4a00-ssl%22	https://retnews.netlify.app/images/newsimage8.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/newsimage8.jpg	(from https://retnews.netlify.app/homepage-v1)
10:05:35	209680/209680	---M--	200	added ('OK')	image/jpeg	etag:%2233e46a1f2527087c1d8c4e758aca8fff-ssl%22	https://retnews.netlify.app/images/newsimage11.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/newsimage11.jpg	(from https://retnews.netlify.app/homepage-v1)
10:05:35	103739/103739	---M--	200	added ('OK')	image/jpeg	etag:%22c5665ca1b4fd0a8c3bc1f671e20699d2-ssl%22	https://retnews.netlify.app/images/banner2.jpg	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/banner2.jpg	(from https://retnews.netlify.app/homepage-v1)
10:05:35	3054/3054	---M--	200	added ('OK')	image/png	etag:%22ea4d5a73abcca14021f93b356c50238e-ssl%22	https://retnews.netlify.app/images/logo2.png	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/images/logo2.png	(from https://retnews.netlify.app/homepage-v1)
10:05:36	1837/1837	---M-Z	404	error ('Not%20Found')	text/html	etag:1577372374-ssl-df	https://retnews.netlify.app/contact-us.html	C:/Users/adela04/Desktop/blog/blog/retnews.netlify.app/contact-us.3b.delayed	(from https://retnews.netlify.app/homepage-v1)
